Id,Label,Text
1,positive,"Kebijakan Pembatasan Sosial Berskala Besar (PSBB) menjadi pilihan paling rasional di tengah pandemi COVID-19 yang melanda Indonesia. Ada dua pertimbangan utama dalam menerapkan PSBB, yang dituangkan dalam Peraturan Pemerintah Republik Indonesia Nomor 21 Tahun 2020."
2,positive,"Apapun keputusan dr pemerintah itu pasti utk kebaikan rakyatnya, sekaligus aspirasi dr masy jg harus jd petimbangan. Indonesia negara besar dan lbh baik mengedepankan pencegahan ketimbang memikirkan dampak dr Lockdown nya. Aspek sosial dan kemanusiaan hrs jd prioritas juga. #IMO"
3,positive,"Yok muhasabah diri yok. Ojo nyalahne pemerintah terus. Bareng2 melawan corona. Mencegah lebih baik daripada mengobati. Banyakin ngaji, banyakin shalawat. Doain semua warga Indonesia selamet. #Covid_19 #LawanCoronaBersama"
4,negative,"Terus apa langkah pemerintah sampai saat ini menyuruh kami rakyat Indonesia hanya berdiam diri dirumah, yang kami butuhkan bukan hanya menghimbau, tapi bekerja, mengatur, bahkan kalau perlu memaksa karena itu wewenang Negara. Lihat jumlah pasien covid-19 sampai saat ngeri banget"
5,negative,pemerintah gagal mengatasi covid
6,positive,"yg koar koar lockdown hanya oposisi yg tdk memikirkan dampak nya.tetapi setelah terjadi dampak nya sangat buruk mereka akan menghujat ber silid silid
#DukungJokowiBasmiCorona"
7,positive,"Usaha yang tiada henti dilakukan oleh pemerintah dan aparat keamanan Indonesia. Mari dukung mereka untuk perangi Covid 19 dengan tetap di rumah saja

#AyoBijakCegahCoronapic.twitter.com/HfeiXsW83L"
8,positive,"yuk pemerintah & penduduk Indonesia kasih wawasan & informasi kepada masyarakat awam mengenai covid 19, supaya nggak ada lagi diskriminasi pada pasien, keluarga & jenazah covid 19

jangan jadi tolol yang berkepanjangan gara gara virus sialan ini! #BersatuUsirCorona #dirumahaja"
9,negative,Yg berat kan pemerintah. Tanpa lockdown dampak saat ini sdh terasa. Polisi sdh represif di mana-mana. Belum diresmikan cm karna pemerintah takut keluar duitnya aja. Toh skrg malah buka rekening donasi.
10,negative,Yg akan (paling) merasakan dampak lockdown adalah masyarakat kecil.. ini akan memicu kekisruhan lainnya. Contoh saja india yg pemerintahnya saja meminta maaf kpd rakyat karena kurang kebijakan lockdown.
11,negative,"Yang terhormat @cabernetmerlott 
Kebijakan pemerintah yang salah adalah ketika virus nCoV / Corona / Covid-19 merebak malah membuat kebijakan Insentif Pariwisata.
Wisatawan asing yg datang ada kemungkinan membawa virus tersebut sehingga menular di Indonesia.
@arielcrows"
12,positive,PEMERINTAH SAMA MASYARAKAT INDONESIA KENAPA  SE GA SUNGGUH ITU NANGGAPI COVID-19. GILA GW BINGUNG KESANA KEMARII
13,negative,"Yang terdampak maksudnya gimana pak @jokowi. Bukan kah rata"" seluruh Provinsi dan Kabupaten Kota di Indonesia Sudah terdampak. Apa mesti kebijakan2 bapak baru bisa kami harus terkena wabah Covid-19 baru kebijakan Pemerintah baru bisa nikmati.? Lalu apa gunanya Stay At Home?"
14,negative,Yang sangat terlihat jelas dari penanganan Covid-19 di Indonesia adalah bacotnya pejabat pemerintah pusat
15,positive,Yang gue heran nih masa iya indonesia banyak ilmuan banyak universitas fakultas  kedokteran masa ga bisa ngatasin covid 19 secara  merata.. bukan saya nyalahin pemerintah .. pokoknya aneh lah birokrasi indonesia ini #LockDownNasionalSerentak
16,negative,Yang disayangkan dalam situasi kaya gini tuh pemerintah ga transparansi soal keadaan saat ini. Dan media juga ga ngebantu ngasih informasi tentang dampak positif dan negatif 'lockdown' disuatu daerah/negara
17,negative,"Yg pertama karena org"" Indonesia banyak yg menyepelekan nya, yg kedua pemerintah kurang tegas dan kurang sigap dalam menangani covid - 19 ini"
18,negative,"Yg masalah besar itu pemerintah pusat tidak berani utk Lockdown Negara Indonesia.

Mencegah Penyebar luasan Virus Covid-19.
Kami berharap.
Bapak presiden bisa tegas dlam mengatsi.
Lockdown secepatnya.
Demi menyelamatkan Nyawa Rakyat indonesia.
Pancasila abadi"
19,negative,Yakinkah kita dengan data pemerintah mengenai jumlah postif covid 19 di Indonesia
20,negative,"Upaya dari pemerintah melalui 6 program JARING PENGAMAN SOSIAL dlm menekan dampak wabah Covid-19 ini akan sangat membantu masyarakat Indonesia terutama kalangan menengah kebawah & semoga bencana wabah ini segera berakhir dinegeri kita, aamiin 
#dirumahaja
#JagaJarakDulupic.twitter.com/NrmBpU5E2Q"
21,negative,"Yes Dok.
Semoga masyarakat Indonesia bisa lebih dewasa dalam menyikapi banyak hal.
Mari dukung nakes yang sibuk merawat sodara2 kita, jgn dijauhi
Juga mari dukung pemerintah
Negara lain juga saling dukung, jgn sampai kita menghujat semua yang sedang berjuang atasi COVID 19 https://twitter.com/tirta_hudhi/status/1245337235160875008Â â€¦"
22,positive,"Yaudah selesai cuma mau ngasih tau aja kalo misal nya di lockdown tapi dari atas nya cuma nyuruh aja, kita malah kena dampak nya bisa mati kelaparan. Ikutin aja gimana aturan nya yang penting kita bisa bawa badan dan pulang bawa uang buat keluarga makan :)"
23,positive,"Yaudah lockdown parsial (terbatas) dirumah dia aja kalau rekomendasinya 6 bulan mah, biar rasain dampak dari omongannya sendiri "
24,negative,"Yg bikin Indonesia kena virus Corona siapa @GunRomli ? sejak awal rakyat udah minta penerbangan dr dan ke China di hentikan tp pemerintah enggan karena takut pariwisata sepi, sampai di beri diskon lg, lu kemana? gk ada bela rakyat, bahkan sekarang covid-19 udah masuk kabinet nih."
25,positive,Yang suruh lockdown pasti orang2 yang tidak tau dampak sebenernya buat diri mereka sendiri. Ikutin aja dulu arahan pemerintah dengan benar.
26,positive,"Yang sangat disayangkan, ditengah makin merebaknya covid 19, merebak juga cela'an dan kritik"" yang cenderung tidak membangun pada pemerintah ... Padahal itu semua bisa mengganggu bangkitnya IHSG yang sedang lemah. Yang pada akhirnya berdampak pada pertumbuhan ekonomi Indonesia."
27,positive,"Yang pasti kekompakan  Pemerintah dan rakyat Italia menghadapi wabah Covid 19 tanpa BUMBU AGAMA. Beda dengan kita Indonesia,...semu karena ulah Kadal Gurun !!"
28,positive,Yang mengkritik kebijakan pemerintah soal pandemi covid-19 ini sebetulnya maunya apa sih..? Punya kebijakan apa yg cocok buat solusi di Indonesia. Mbok ya o bikin trus dipaparkan ke pemerintah. Tpi hitung2an biaya dan resiko juga sekalian ya. Jgn asal usul doang.
29,positive,"Yang masih nyalah2in pemerintah Indonesia, bisa dibaca lah ini. I think all Govt will always do the best for their country, tapi ya memang semuanya pasti kewalahan dengan membludaknya pasien kasus Covid-19, belum lagi pasien dengan penyakit lain. https://twitter.com/OdongGyu/status/1243330022301024257Â â€¦"
30,positive,"Udah bener semi lockdown dgn social distancing kaya gini, kalo bener2 lockdown banyak dampak yg harus ditanggung kedepannya"
31,positive,"Yang harus didemo tuh bukan Gubernur, tapi perusahaan tempat bekerja yang gak taat kebijakan pemerintah. Kalian yang kemaren koar koar lockdown skg kena dampak nya nyalahin lagi"
32,positive,"yang dibutuhkan Indonesia saat ini adalah dukungan moril seluruh rakyat buat para gugus depan dan pemerintah baik itu pusat maupun daerah, Insya Allah,,, semua keptusan pemerintah bisa meredam sebaran covid 19."
33,positive,"Ya makanya itu pemerintah gk mau sembarangan ambil jalan lockdown... karena untuk menjalankan lockdown, harus dipikirkan gmana membantu rakyat yang terkena dampak lockdown..dan itu tidak mudah... bantuan sosial? Ingat waktu gempa lokal kmrn banyak bantuan kmnsiaan yang di rampas"
34,positive,"ya jangan salahin pemerintah juga dong, perusahan yg tidak mentaati peraturan pemerintah, kemaren pda minta lockdown trending, skg ada dampak nya dri aturan itu komplen juga..."
35,positive,"Ya bukan Indonesia kl g seenaknya.kan kalo kena tinggal nyalahin pemerintah dengan alasan g mampu menanggulangi covid-19
#WelcomeToIndonesia"
36,positive,"ya beda bro Indo dilockdown dampak buat megara bisa sgt besar terutama dari sisi ekonomi negara.

kalo negara maju diluar sama bisa nerapin lockdown karna stabilitas ekonomi mereka pada oke, Indo saat ini ga memungkinkan untuk lockdown negara full."
37,positive,"Wow, minta lockdown, Siap nggak ikutan tanggungjawab dampak resiko lockdown? Jgn cmn Teriak2 lockdown trus ada chaos situ cmn bilang "" ITU urusan pemerintah""."
38,positive,"Woi rakyat Indonesia, jangan sekali sekali meremehkan wabah covid--19, lihat Amerika pontang panting, jadi tolong sebulan ke depan patuh kpd anjuran pemerintah, jika harus mencari nafkah lakukan dengan hati hati, memakai masker, ambil jarak aman dan tetap waspada, ini ujian kita."
39,positive,"Woi rakyat Indonesia, jangan sekali sekali meremehkan wabah covid--19, lihat Amerika pontang panting, jadi tolong sebulan ke depan patuh kpd anjuran pemerintah, jika harus mencari nafkah lakukan dengan hati hati, memakai masker, ambil jarak aman dan tetap waspada, ini ujian kita."
40,positive,"Wkwkwk dikira ga berharap, lagian berharap ke pemerintah tapi ko ga dukung pemerintah buat ngambil langkah ya gimana ya, udah ditonton aja videonya biar tau dampak lockdown tuh gimana ke keseluruhnya bukan ke satu pihak"
41,positive,"Well..klo gw gak setuju lockdown..just isolate urself at home..dampak nya terlalu luas kalo lockdown, please think clear about it.."
42,positive,"Warga twitter simpati dgn banyaknya karyawan yg di PHK karena dampak corona. Kemarin kemarin minta lockdown, bilangnya â€œburuan lockdown jangan korbanin nyawa masyarakatâ€, sekarang malah nyalahin presiden. Gimana si?"
43,positive,"Walaupun sdh ada bbrp langkah strategis diambil pemerintah, tp tetep blom ada titik terang u/ Covid-19 di Indonesia. ODP PDP atau bahkan org dipinggir jalan banyak yg diberitakan meninggal dlan without proper care.. Bener2 syedih n khawatir.."
44,positive,"Wahai masyarakat Indonesia !!
Yang masih nengabaikan himbauan pemerintah ttg Covid-19
Inget aja makna dari  'MENCEGAH LEBIH BAIK DARIPADA MENGOBATI', 'SEDIA PAYUNG SEBELUM HUJAN'"
45,positive,"Wahai kalian yang meminta lockdown,
Kami org kecil, Terasa betul dampak Ekonomi dari permasalahan ini. Faham juga bahaya penyakit, tapi meski dirumah aja, ada beban spp sekolah yg harus dibayar meski anak drmh aja, listrik dan pokok lainya."
46,positive,"Wah, tdk disngkah politisi sprti Andi Arief, sngt dungu..kau bikin malu Demokrat aja Andi Arief...kau tdk paham sama sekali dampak buruk yg sngt besar yg ditimbulkan jika pemerintah menerapkan lockdown...kmu benar-2 politisi yg sngt dungu..."
47,positive,"Andai saja seluruh masyarakat Indonesia mau tertib dan disiplin serta ikuti arahan Pemerintah, Optimis kita bisa megatasi COVID-19.Semoga TUHAN YANG MAHA ESA melindungi seluru Masyarakat Indonesia. Amin... "
48,positive,"Wah, ini malah nambah masalah. Saat ini bukan saatnya nyinyir. Bukankah pemerintah sudah menghimbau rakyat indonesia untuk bersatu dan bergotongroyong melawan pandemik covid-19?"
49,positive,"Waduh... Sampeyan belum paham dampak Lockdown pada ekonomi rumahtangga ? 
Semua orang akan dirumahkan..
Buruh harian golek duit dari mana ?

2 minggu Lockdown = Direct Hit pada pendapatan mereka.. https://twitter.com/caknawa/status/1238625952466231296Â â€¦"
50,positive,"Waduh waduh .... Mengabaikan semua himbauan pemerintah pusat .... Meliburkan sekolah dan ASN itu tujuannya untuk memperlambat perkembangan covid 19 pak, soalnya blm ada vaksinnya . Kalo tiba tiba langsung banyak yg terpapar kan jadi bingung ngobatinnya ...."
51,positive,"Wabah Covid-19 masih melanda Indonesia, jadi tetaplah tinggal di rumah sesuai anjuran pemerintah, serta jangan lupa terapkan perilaku hidup bersih dan sehat (PHBS) ya!

Salah satu cara menjaga kesehatan sobat ternakâ€¦ https://www.instagram.com/p/B-jhMHmJn3t/?igshid=1w6eoigyojexnÂ â€¦"
52,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
53,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
54,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
55,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
56,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
57,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
58,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
59,positive,"WABAH COVID-19 
-Di China, rakyatnya saling menguatkan, mereka pakai slayer yg ada bendera China dan saling tolong-menolong.
-Di Italia, setiap jendela rumah penduduk dipasang bendera Italia, untuk saling menguatkan.
-Di Indonesia, digunakan cara untuk menjatuhkan Pemerintah."
60,positive,"Wabah COVID 19
Malaysia : ikut apa yg di perintahkan oleh kerajaan/pemerintah nya. Keras kepala? Polisi dan tentara siap menciduk anda
Indonesia : bikin peraturan segala macam, baik pusat maupun daerah sebagian rakyat ny cuek, anggap enteng, nyalahin pemerintah"
61,positive,"Utk Kebaikan bersama mari sama sama mengikuti Himbauan Pemerintah 
Dan Semoga Indonesia Cepat pulih dari Covid-19.  Amin. 

#GoodNightTwitterWorld
#TundaMudikCegahCorona
#IndonesiaKembaliPulih"
62,positive,Andai orang orang yang protes terus ke Pemerintah masalah COVID-19 suatu nanti bisa kerja juga di pemerintahan biar ngerti susahnya bikin keputusan untuk satu Indonesia.
63,positive,"Usaha yang tiada henti dilakukan oleh pemerintah dan aparat keamanan Indonesia. Mari dukung mereka untuk perangi Covid 19 dengan tetap di rumah saja

#AyoBijakCegahCoronapic.twitter.com/kgqS6uqMgi"
64,positive,"Yg dari kmrn minta lockdown, gua tau lu pengen negara ricuh, org miskin kelaparan, banyak org jd stres, semoga lu mati duluan

Dampak Lockdown, Warga Miskin Malaysia Dikabarkan Mulai Kelaparan, Simak Faktanya https://batam.tribunnews.com/2020/03/23/dampak-lockdown-warga-miskin-malaysia-dikabarkan-mulai-kelaparan-simak-faktanyaÂ â€¦ lewat @tribunbatamku"
65,positive,"Update covid 19 hari ini di Indonesia 
Positive 1.677
Sembuh 103
Meninggal 158

Semoga pandemi covid 19 cepat berlalu 
Jaga jarak dulu 
Ikuti himbauan pemerintah 
Jangan mudik dulu 
Demi orang orang yang kita kasihiâ€¦ https://www.instagram.com/p/B-cCQDlpDyu/?igshid=1kwb5pqy7g4dyÂ â€¦"
66,positive,"yg bikin covid-19 cepet menyebar di Indonesia salah satunya orang-orang yg ngomong ""Gausah takut sama Corona, mati udah diatur Allah""

Pemerintah lagi gencar-gencar nya nanganin Virus ini, bacot masyarakatnya malah sampah."
67,positive,"Untung pak anis cuma gubenur. Untuk skala provinsi okeh lah liburin anak2 sekolah. Dan  untungnya presidennya pak jokowi, yg masih memikirkan banyak dampak yg timbul kalo lockdown. Insyaallah Indonesia akan baik2 saja. Aamiin"
68,positive,"Untuk sementara waktu tidak perlu Lock Down sebab dampak yg ditimbulkan akan merugikan kedua belah pihak saya msh yakin Pemerintah Jokowi bisa mengatasi masalah Covid-19 dgn baik 
#SayaPercayaJokowi
#SayapercayaJokowibisa"
69,positive,"Untuk sementara waktu stop bicara Politik

Update informasi perkembangan Covid - 19 di daerah kita masing2 dan tetap waspada

Jalankan anjuran Pemerintah mengenai pencegahan wabah secara tekhnis kesehatan,hindari kerumunan dan perbanyaklah Berdoa

Yakinlah Tuhan sayang Indonesia"
70,positive,"Untuk seluruh masyarakat indonesia. Kita sebaiknya tetap di rumah mengikuti anjuran dari pemerintah. Untuk bisa memutuskan rantai covid-19, jika kita semua konsisten berada di rumah. Insyaallah wabah ini akan cepat berakhir, dan kita semua bisa menyambut bulan ramadhan."
71,positive,Untuk Sama-sama menjaga Indonesia ditengah pandemi Covid-19. Mari kita patuhi anjuran pemerintah untuk #sosialdistance dengan tetap di rumah dan menjaga kesehatan. Semoga pandemi ini segera berakhir dan kita semuaâ€¦ https://www.instagram.com/p/B9-zqCBhlG0/?igshid=d0fx0lu2wzj6Â â€¦
72,positive,untuk para warga santuy kalo nanti * amit amit * covid 19 di indonesia memburuk jangan nyalahin pemerintah yah heheh kalian tau kannn siapa yang harus di salahin 
73,positive,"Udahlah, gausah nuntut ini itu dari pemerintah, social distancing udh paling gampang untuk diterapin di Indonesia. Bantu aja dulu 14 hari kedepan untuk mutus penyebaran covid-19, diliburkan bukan liburan lo ya. #StaySafeAtHome"
74,positive,"Yang masih berani krn tidak taâ€™u malu mengkritik Pemerintah menangani COVID-19 hanya barisan  sakit hati  kadrun2 busuk yg tidak pernah mengaca diri X sudah ada kutil diotaknya yg jauh lebih berbahaya dari Virus Corona, mari bersama bekerja menyongsong Indonesia Maju MERDEKA"
75,positive,Udah baca berita hari ini dampak lockdown di italia bagaimana ?? Penjarahan !! Itulah yg di hindari oleh negara kita knapa lock down itu butuh pemikiran yang benar2 matang.
76,positive,"Tweeter please do your magic

Kepada rekan2 buzzer di Indonesia mau sampai kapan kalian mencari kesalahan lawan anda?
BERSATU melawan pandemic covid-19.
Beri apresiasi kepada pemerintah dan garda terdepan kita.
Bantu sebisa kalian dukung mereka dan doakan yg telah menjadi korban"
