Id,Label,Text
1,positive,acara hitam putih memang oke
2,positive,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih
3,negative,parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini
4,negative,"Miris liat pemerintah, Juara angkat berat se-asia tp tdk ada biaya mengikuti kejurnas.. #miris #hitamputihtrans7 "
5,positive,Asiknya nonton Hitam Putih Trans7
6,positive,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih
7,positive,hitam putih T7 inspiratif banget
8,positive,Suka banget dengan acara hitam putih
9,negative,"Juara 1 angkat berat Se-Asia, tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya #hitamputihtrans7"
10,positive,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng"
11,negative,Klo episode berikutnya muncul lagi di @HitamPutihT7 saya ga bakal nonton lg hitam putih.. #hitamputiht7
12,negative,"sedih dengar curhatanmu, Roxana. Semoga Tuhan tunjukkan jalan dan titik terang utk Roxana #hitamputih #pegulat"
13,positive,Miris ketika anak Indonesia kesulitan menggunakan Bahasa Indonesa dan lebih nyaman menggunakan bahasa asing #HitamPutihTrans7 #AkuIndonesia
14,negative,Trans7 Hitam Putih terbaik 
15,positive,Acara hitam putih paling bagus buat di lihat
16,negative,"Orang tuna netra aja bisa berbagi, kok yg pegang jabatan tinggi korupsi #HitamPutihT7"
17,positive,"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto..."
18,negative,bukan maksud ngatain tp cuma bertanya knp hanya orang kecil atau bawah yg ditindes? @HitamPutihT7 #HitamPutihT7
19,negative,Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP
20,positive,Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.
21,positive,Nonton kisah anastasya wella di #hitamputihtrans7 seru bgt ya kisahnya. Punya 9 kepribadian berbeda.
22,positive,Yang bikin selalu rindu kalau jauh dari nya... #hitamputihtrans7
23,positive,@HitamPutih wihh hebat kakek neneknya @TRANS7
24,positive,Setelah menunggu sekian lama. Akhirnya @yukikatou2 nongol juga di HITAM PUTIH TRANS7
25,positive,makin asik hitam putih
26,negative,"#hitamputihT7 jika hasilnya tdk sesuai dgn apa yg dikehendaki para pendemo akan demo lg, silakah jika ini diartikan sbg pemaksaan kehendak"
27,positive,Wahh asik nih vocalgrup #HitamPutih... thanks @TRANS7
